Run Time,Comparisons,Swaps,
1,149190,78278,
1,149190,78278,
1,149190,78278,
1,149190,78278,
1,149190,78278,
1,149190,78278,
1,149190,78278,
1,149190,78278,
1,149190,78278,
1,149190,78278,
Average,1,149190,78278
Sorted
206,4.29168e+07,4.29239e+07,
207,4.29168e+07,4.29239e+07,
209,4.29168e+07,4.29239e+07,
205,4.29168e+07,4.29239e+07,
204,4.29168e+07,4.29239e+07,
219,4.29168e+07,4.29239e+07,
207,4.29168e+07,4.29239e+07,
206,4.29168e+07,4.29239e+07,
214,4.29168e+07,4.29239e+07,
210,4.29168e+07,4.29239e+07,
Average,208.7,4.29168e+07,4.29239e+07
