Run Time,Comparisons,Swaps,
37872,9.9998e+09,2.50203e+09,
37967,9.9998e+09,2.50203e+09,
38580,9.9998e+09,2.50203e+09,
38185,9.9998e+09,2.50203e+09,
37982,9.9998e+09,2.50203e+09,
37767,9.9998e+09,2.50203e+09,
37765,9.9998e+09,2.50203e+09,
37950,9.9998e+09,2.50203e+09,
38047,9.9998e+09,2.50203e+09,
38035,9.9998e+09,2.50203e+09,
Average,38015,9.9998e+09,2.50203e+09
Sorted
21798,9.9998e+09,0,
21885,9.9998e+09,0,
22273,9.9998e+09,0,
21956,9.9998e+09,0,
21976,9.9998e+09,0,
21986,9.9998e+09,0,
21951,9.9998e+09,0,
21982,9.9998e+09,0,
21953,9.9998e+09,0,
21933,9.9998e+09,0,
Average,21969.3,9.9998e+09,0
