Run Time,Comparisons,Swaps,
11043,4.99995e+09,100000,
10960,4.99995e+09,100000,
11096,4.99995e+09,100000,
11054,4.99995e+09,100000,
11044,4.99995e+09,100000,
11034,4.99995e+09,100000,
11035,4.99995e+09,100000,
11055,4.99995e+09,100000,
11018,4.99995e+09,100000,
11030,4.99995e+09,100000,
Average,11036.9,4.99995e+09,100000
Sorted
11149,4.99995e+09,100000,
11064,4.99995e+09,100000,
11071,4.99995e+09,100000,
11089,4.99995e+09,100000,
11047,4.99995e+09,100000,
11063,4.99995e+09,100000,
11076,4.99995e+09,100000,
11039,4.99995e+09,100000,
11034,4.99995e+09,100000,
11048,4.99995e+09,100000,
Average,11068,4.99995e+09,100000
